name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,categoria,rede
BATATA FRITA PEQUENO,1.2247406833690526,1.13339329445328,1.7820189485656033,2.0369203058997343,0.0,1.005586915190746,3.2779729239134547,1.0,0.0,2.269813329287122,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
BATATA FRITA MEDIO,1.3522962063622987,1.2223221574221332,2.251230317704965,2.7282005098328908,0.0,1.00931152531791,4.569358982892561,1.0,0.0,2.9323246315238816,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
BATATA FRITA GRANDE,1.4312591491676416,1.2667865889065602,2.5640378971312066,3.0738406117994685,0.0,1.011173830381492,5.3687884479748655,1.0,0.0,3.539626658574244,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
BK BALDE DE BATATAS,3.362814211636797,2.778577259377067,1.938422738278724,1.0,0.0,1.001862305063582,1.2459782969484012,8.0540923865086,0.0,1.7729298526095525,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
ONION RINGS PEQUENO,1.2763702998186999,1.2223221574221332,2.3294322125615254,2.382560407866312,0.0,1.007449220254328,4.577380014314792,1.0,0.0,2.8771153563374847,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
ONION RINGS GRANDE,1.394814714026714,1.3112510203909866,2.876845476557448,3.0738406117994685,0.0,1.00931152531791,6.109397015960813,1.0,0.0,4.036510135251813,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
BATATA SUPREMA PEQUENO,1.671185013845414,1.40017988335984,2.5640378971312066,3.0738406117994685,0.0,1.005586915190746,5.136178536730181,1.0,0.0,2.821906081151088,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
BATATA SUPREMA MEDIA,2.1176293443217755,1.6669664722664002,3.580662530266491,1.3456401019665782,0.0,1.011173830381492,7.785792583206983,1.58784103220905,0.0,4.09171941043821,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
BATATA FURIOSA PEQUENO,1.5588146721608878,1.3112510203909866,3.033249266270569,3.0738406117994685,0.0,1.00931152531791,7.785792583206983,1.0,0.0,4.58860288711578,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
BATATA FURIOSA MEDIA,2.07511083665736,1.5780376092975468,5.144700427397698,1.3456401019665782,0.0,1.0167607455722378,13.897818526946605,1.0,0.0,2.0489762285415356,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
MAÇÃ INTEIRA,1.1791851394428934,1.0,1.0,1.0,0.0,1.0,1.0401051571111524,2.76352309662715,0.0,1.0,0.0,0.0,0.0,0.0,ACOMPANHAMENTO,blue
BALDÃO DE DOCE DE LEITE,3.390147537992493,2.111610787110667,2.251230317704965,1.0,0.0,2.104346902704124,1.3395569968744234,1.0,0.0,1.7177205774231559,0.0,0.0,0.0,0.0,SOBREMESA,blue
BALDÃO DE CHOCOLATE,3.256517942475759,2.1560752185950935,2.251230317704965,1.0,0.0,2.057789276114574,1.310146548326245,1.58784103220905,0.0,1.9937669533551388,0.0,0.0,0.0,0.0,SOBREMESA,blue
BALDÃO DE MORANGO,3.0955550206033293,1.8892886296885334,2.0166246331352844,1.0,0.0,1.8622472444384643,1.3154939026077321,1.0,0.0,1.7177205774231559,0.0,0.0,0.0,0.0,SOBREMESA,blue
BALDÃO DE OVOMALTINE,5.391554434481759,3.979116909456587,3.1896530559836895,1.0,0.0,1.9292902267274163,1.5133460110227506,3.3513641288361997,0.0,2.0489762285415356,0.0,0.0,0.0,0.0,SOBREMESA,blue
BALDÃO DE BROWNIE,3.985406645294308,2.60071953343936,2.876845476557448,1.0,0.0,2.1322814786578537,1.3957042168300369,2.1756820644181,0.0,1.9937669533551388,0.0,0.0,0.0,0.0,SOBREMESA,blue
CASQUINHA DE DOCE DE LEITE,1.6165183611340228,1.2223221574221332,1.2346056845696811,1.0,0.0,1.2085781671211837,1.0989260542075092,1.0,0.0,2.2146040541007253,0.0,0.0,0.0,0.0,SOBREMESA,blue
CASQUINHA DE BAUNILHA,1.5102220919729845,1.2223221574221332,1.2346056845696811,1.0,0.0,1.2402373532020774,1.0668419285185873,1.58784103220905,0.0,3.705254484133434,0.0,0.0,0.0,0.0,SOBREMESA,blue
CASQUINHA MISTA,1.5861479985165832,1.2667865889065602,1.2346056845696811,1.0,0.0,1.2346504380113315,1.0855576685037918,1.0,0.0,2.987533906710278,0.0,0.0,0.0,0.0,SOBREMESA,blue
CASQUINHA RECHEADA DE CHOCOLATE,1.747110920389013,1.3557154518754135,1.3128075794262413,1.0,0.0,1.2569980987743157,1.1069470856297396,1.58784103220905,0.0,3.097952457083071,0.0,0.0,0.0,0.0,SOBREMESA,blue
CASQUINHA RECHEADA DE DOCE DE LEITE,1.7349627753420371,1.2667865889065602,1.3128075794262413,1.0,0.0,1.2774834544737175,1.11496811705197,1.58784103220905,0.0,3.705254484133434,0.0,0.0,0.0,0.0,SOBREMESA,blue
CASQUINHA RECHEADA DE OVOMALTINE,2.0265182564694566,1.7114309037508268,1.469211369139362,1.0,0.0,1.2420996582656596,1.1176417941927137,1.58784103220905,0.0,4.3125565111837965,0.0,0.0,0.0,0.0,SOBREMESA,blue
SUNDAE DE CHOCOLATE,2.035629365254689,1.6669664722664002,1.703817053709043,1.0,0.0,1.4078448089244573,1.1176417941927137,2.1756820644181,0.0,5.361532739725332,0.0,0.0,0.0,0.0,SOBREMESA,blue
SUNDAE DE MORANGO,1.877703479644003,1.4446443148442667,1.3910094742828016,1.0,0.0,1.2979688101731195,1.1176417941927137,2.1756820644181,0.0,4.3125565111837965,0.0,0.0,0.0,0.0,SOBREMESA,blue
SUNDAE DE DOCE DE LEITE,1.874666443382259,1.4446443148442667,1.3910094742828016,1.0,0.0,1.3705987076528174,1.1096207627704833,1.58784103220905,0.0,5.361532739725332,0.0,0.0,0.0,0.0,SOBREMESA,blue
SUNDAE ESPECIAL DE OVOMALTINE,2.2239256134828143,1.844824198204107,1.5474132639959224,1.0,0.0,1.3221787759996855,1.1336838570371746,1.58784103220905,0.0,4.478184336742986,0.0,0.0,0.0,0.0,SOBREMESA,blue
BK  MIX DE OVOMALTINE,2.4517033331136107,1.9337530611729603,1.8602208434221637,1.0,0.0,1.3761856228435634,1.1711153370075835,1.58784103220905,0.0,4.975067813420556,0.0,0.0,0.0,0.0,SOBREMESA,blue
BK MIX DE BROWNIE,2.2725181936707175,1.6669664722664002,1.7820189485656033,1.0,0.0,1.459989350704753,1.16844165986684,1.58784103220905,0.0,5.251114189352539,0.0,0.0,0.0,0.0,SOBREMESA,blue
