name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,sal,cafeína,categoria,rede
VEGAN PISTACHIO BAR,2.2065250236887732,2.3038217985591074,2.1986302130185402,0.0,0.0,1.0692755470090547,1.0079363981685137,4.901605293430092,1.1246385369231837,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
CHOCOLATE CARAMEL SHORTBREAD,2.3619668979063455,2.247133894273929,2.0987443619336617,0.0,0.0,1.0989650671557927,1.0039681990842568,5.830558934722971,1.1661847158975784,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,VEGGIES,#24704D
CHOCOLATE CHUNK SHORTBREAD,2.824591523553881,2.5872613199850005,2.7979453195278103,0.0,0.0,1.131128713981425,1.0039681990842568,5.644768206464395,1.2492770738463674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
ROCKY ROAD,2.2324320027250355,2.1337580857035716,2.1986302130185402,0.0,0.0,1.0841203070824237,1.0079363981685137,6.016349662981546,1.1246385369231837,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
CHOCOLATE CRISPY STICK,1.673581454942812,1.4535032342814287,1.4994292554243918,0.0,0.0,1.0618531669723703,1.0039681990842568,4.53002383691294,1.083092357948789,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
RASPBERRY CRISPY STICK,1.6698804579376318,1.39681532999625,1.4994292554243918,0.0,0.0,1.0692755470090547,1.0,4.53002383691294,1.0415461789743945,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
COOKIES & CREAM BROWNIE,2.332358921864903,2.3038217985591074,2.1986302130185402,0.0,0.0,1.081646180403529,1.0079363981685137,6.387931119498698,1.207730894871973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
CHOCOLATE BROWNIE,2.2509369877509364,2.247133894273929,2.1986302130185402,0.0,0.0,1.0742238003668443,1.0079363981685137,6.016349662981546,1.207730894871973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
DATE & SEED BAR,2.5359137571498187,2.247133894273929,2.1986302130185402,0.0,0.0,1.1113357005502666,1.0396819908425683,7.131094032533001,1.3323694317951567,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
CHOCOLATE CARAMEL EASTER NEST,2.5618207361860805,2.643949224270179,2.7979453195278103,0.0,0.0,1.091542687119108,1.0079363981685137,6.016349662981546,1.1661847158975784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
CHOCOLATE CHUNK COOKIE,2.3434619128804437,2.0203822771332147,2.0987443619336617,0.0,0.0,1.1088615738713719,1.0079363981685137,5.644768206464395,1.207730894871973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SOBREMESA,#24704D
TRIPLE CHOCOLATE COOKIE,2.3767708859270664,2.1337580857035716,2.2985160641034184,0.0,0.0,1.1014391938346875,1.0119045972527705,6.016349662981546,1.207730894871973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SOBREMESA,#24704D
OAT & RAISIN COOKIE,2.188020038662872,1.6235669471369643,1.4994292554243918,0.0,0.0,1.1237063339447406,1.0119045972527705,6.573721847757274,1.1661847158975784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SOBREMESA,#24704D
CARROT LOAF CAKE,2.1954220326732323,1.9070064685628574,1.299657553254635,0.0,0.0,1.1039133205135823,1.0119045972527705,6.202140391240122,1.1661847158975784,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,SOBREMESA,#24704D
LEMON LOAF CAKE,2.302750945823461,2.19044598998875,1.898972659763905,0.0,0.0,1.0890685604402133,1.0039681990842568,5.458977478205819,1.1661847158975784,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,SOBREMESA,#24704D
COCONUT AND RASPBERRY LOAF CAKE,2.5840267182171623,2.473885511414643,2.498287766273175,0.0,0.0,1.1088615738713719,1.0039681990842568,6.573721847757274,1.1661847158975784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SOBREMESA,#24704D
VEGAN CHOCOLATE AND RASPBERRY MINI LOAF,2.0843921225178237,1.39681532999625,1.299657553254635,0.0,0.0,1.13360284066032,1.0079363981685137,7.131094032533001,1.1246385369231837,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SOBREMESA,#24704D
BLUEBERRY MUFFIN,2.513707775118737,2.077070181418393,1.299657553254635,0.0,0.0,1.131128713981425,1.0039681990842568,5.273186749947243,1.2492770738463674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SOBREMESA,#24704D
LEMON MUFFIN,2.569222730196441,2.1337580857035716,1.299657553254635,0.0,0.0,1.1385510940181096,1.0039681990842568,6.387931119498698,1.2492770738463674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SOBREMESA,#24704D
TRIPLE CHOCOLATE MUFFIN,2.7394685924347346,2.4171976071294647,1.6992009575941482,0.0,0.0,1.13360284066032,1.0079363981685137,6.573721847757274,1.2908232528207622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SOBREMESA,#24704D
RASPBERRY CHEESECAKE MUFFIN,2.632139679284506,2.360509702844286,1.4994292554243918,0.0,0.0,1.1212322072658458,1.0079363981685137,5.273186749947243,1.2908232528207622,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,SOBREMESA,#24704D
FUNFETTI CUPCAKE,2.7394685924347346,2.3038217985591074,2.2985160641034184,0.0,0.0,1.1533958540914784,1.0158727963370273,9.174792043377334,1.1246385369231837,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,SOBREMESA,#24704D
FAIRTRADE BANANA (PER UNIT =WHOLE),1.399707676559471,1.0566879042851784,1.0,0.0,0.0,1.06680142033016,1.0119045972527705,3.7868609238786366,1.0415461789743945,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VEGGIES,#24704D
CLASSIC OATMEAL,1.8660332992121869,1.3401274257110716,1.299657553254635,0.0,0.0,1.0865944337613185,1.0079363981685137,2.672116554327182,1.4154617897439459,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CAFE DA MANHA,#24704D
FIVE GRAIN OATMEAL,1.8327243261655644,1.5668790428517858,1.5993151065092701,0.0,0.0,1.0593790402934755,1.0158727963370273,1.3715814565171516,1.3323694317951567,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CAFE DA MANHA,#24704D
ALL DAY BREAKFAST ROLL,2.7135616133984723,1.7936306599925,1.4994292554243918,0.0,0.0,1.1410252206970044,1.0079363981685137,1.7431629130343032,2.121746832308654,0.0,0.0,0.0,0.0,0.0,4.0797317055963935,0.0,CAFE DA MANHA,#24704D
SMOKED BACON ROLL,2.2361329997302155,1.6235669471369643,1.3995434043395134,0.0,0.0,1.0964909404768977,1.0079363981685137,1.5573721847757274,1.789377400513497,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,CAFE DA MANHA,#24704D
SAUSAGE SANDWICH,2.7690765684761764,2.247133894273929,1.7990868086790268,0.0,0.0,1.118758080586951,1.0119045972527705,1.9289536412928787,1.9140159374366807,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,CAFE DA MANHA,#24704D
BACON & EGG MUFFIN,2.458192820041033,1.7936306599925,1.4994292554243918,0.0,0.0,1.1014391938346875,1.0119045972527705,1.5573721847757274,1.99710829538547,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,CAFE DA MANHA,#24704D
HALLOUMI & AVOCADO MUFFIN,2.6136346942586046,2.247133894273929,2.1986302130185402,0.0,0.0,1.0989650671557927,1.0119045972527705,2.3005350978100303,1.8309235794878918,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,CAFE DA MANHA,#24704D
VEGAN ALL DAY BREAKFAST BURRITO,2.435986838009951,1.7936306599925,1.299657553254635,0.0,0.0,1.1162839539080562,1.023809194505541,1.3715814565171516,1.6231926846159188,0.0,0.0,0.0,0.0,0.0,2.026577235198798,0.0,CAFE DA MANHA,#24704D
CHEESE & MARMITE™ MINI CIABATTA,2.3138539368390014,1.7936306599925,1.898972659763905,0.0,0.0,1.0865944337613185,1.0079363981685137,1.1857907282585758,1.7478312215391025,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,CAFE DA MANHA,#24704D
HAM & CHEESE CROISSANT,2.6913556313673905,2.360509702844286,2.398401915188297,0.0,0.0,1.0964909404768977,1.0119045972527705,2.3005350978100303,1.8724697584622862,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,CAFE DA MANHA,#24704D
